Author,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
['D. M. Mackay'],0.000814663951120163,0.0,0.0,1.342337948735083e-25
['Robert Price'],0.005702647657841141,0.018956929865789337,5.503020685847011e-05,3.413159945112309e-05
['Kenneth S. Miller',0.004887983706720978,0.020237475552500845,0.0,7.111950764815269e-06
'L. A. Zadeh'],0.003258655804480652,0.01995244424454069,0.0,7.111950764815269e-06
['John P. Nash'],0.002443991853360489,0.0,0.0,3.815153913635308e-39
['William A. Malthaner',0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
'H. E. Vaughan'],0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
['Bernard Lippel'],0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
['Benjamin F. Logan',0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
'George R. Welti',0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
'George C. Sponsler'],0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
['David Slepian'],0.004887983706720978,0.011748152025092256,9.411460071009217e-06,3.2672257771570277e-09
['Irving S. Reed'],0.006517311608961304,0.01800013277908772,0.0,3.275663303998926e-08
['Theodore Hailperin'],0.000814663951120163,0.0,0.0,1.342337948735083e-25
['Marvin Blum'],0.0012219959266802445,0.001131477709889115,0.0,3.557195564147441e-24
['Stanley P. Frankel'],0.000814663951120163,0.0,0.0,1.342337948735083e-25
['Raymond E. Miller'],0.0028513238289205704,0.0012413926874212007,2.6557912016957226e-06,6.173039357584305e-20
['Rocco H. Urbano',0.0020366598778004076,0.002217696311382666,0.0,3.815148136877901e-20
'R. K. Mueller'],0.0020366598778004076,0.002217696311382666,0.0,3.815148136877901e-20
['Jack L. Rosenfeld'],0.000814663951120163,0.0,0.0,3.815153913635308e-39
['Jan A. Rajchman',0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
'Hewitt D. Crane'],0.0004073319755600815,0.0004073319755600815,0.0,1.7549708002722417e-37
['Harold S. Shapiro',0.0004073319755600815,0.0,0.0,3.815153913635308e-39
['Richard A. Silverman'],0.000814663951120163,0.000814663951120163,0.0,3.471790061408129e-37
'Richard A. Silverman'],0.0004073319755600815,0.0,0.0,3.815153913635308e-39
['William L. Kilmer'],0.0004073319755600815,0.0,0.0,3.815153913635308e-39
['W. Wesley Peterson'],0.0028513238289205704,0.003273203375036369,3.319739002119653e-06,8.054027692410267e-25
['T. E. Stern',0.0012219959266802445,0.0,0.0,3.815153913635308e-39
['Bernard Friedland',0.000814663951120163,0.000814663951120163,0.0,3.471790061408129e-37
'T. E. Stern'],0.000814663951120163,0.000814663951120163,0.0,3.471790061408129e-37
'Bernard Friedland'],0.0012219959266802445,0.0,0.0,3.815153913635308e-39
['Frank Harary'],0.0012219959266802445,0.0,0.0,3.815153913635308e-39
['Peter Elias',0.0012219959266802445,0.007725398638915105,0.0,3.378961900368815e-09
'Amiel Feinstein',0.0012219959266802445,0.007725398638915105,0.0,3.378961900368815e-09
'Claude E. Shannon'],0.0012219959266802445,0.007725398638915105,0.0,3.378961900368815e-09
['L. Lorne Campbell'],0.0004073319755600815,0.0,0.0,3.815153913635308e-39
['Seymour Ginsburg'],0.004887983706720978,0.011792865640942913,4.974984580997955e-05,6.070512031314615e-10
['Sidney Darlington'],0.0028513238289205704,0.003881634120043129,3.6517129023316186e-06,1.3423379513984424e-25
['Thomas H. Mott'],0.001629327902240326,0.000814663951120163,3.319739002119653e-07,3.471790061408129e-37
['Carl W. Helstrom'],0.0036659877800407333,0.010219455390609825,6.855261039377084e-05,1.3162517613382145e-09
['E. V. Bohn'],0.0012219959266802445,0.0007331975560081466,9.95921700635896e-07,5.635578842249965e-18
['Richard Lee',0.0004073319755600815,0.0007241457343290337,0.0,2.8177894211249827e-18
'Fred B. Cox'],0.0004073319755600815,0.0007241457343290337,0.0,2.8177894211249827e-18
['Ladis D. Kovach',0.0020366598778004076,0.000814663951120163,0.0,1.6906736526749886e-17
'William Comley'],0.0020366598778004076,0.000814663951120163,0.0,1.6906736526749886e-17
['Robert M. Lerner'],0.001629327902240326,0.0,0.0,3.815153913635308e-39
['Steven M. Sussman'],0.000814663951120163,0.000814663951120163,0.0,3.471790061408129e-37
['R. Manasse',0.0012219959266802445,0.0012219959266802445,0.0,5.18860932254402e-37
'Robert Price',0.0012219959266802445,0.0012219959266802445,0.0,5.18860932254402e-37
'Robert M. Lerner'],0.0012219959266802445,0.0012219959266802445,0.0,5.18860932254402e-37
['Ted W. Berwin'],0.000814663951120163,0.0,0.0,3.815153913635308e-39
['Hsu Chang',0.0012219959266802445,0.0004073319755600815,1.6598695010598266e-07,1.7549708002722417e-37
['Sidney Schwartz',0.000814663951120163,0.0009164969450101833,0.0,7.901183755138725e-36
'J. S. Sallo'],0.000814663951120163,0.0009164969450101833,0.0,7.901183755138725e-36
'A.G. Milnes'],0.0012219959266802445,0.0004073319755600815,1.6598695010598266e-07,1.7549708002722417e-37
['Thomas Kailath'],0.010183299389002037,0.020888441750709558,0.00017628367391089037,0.0001296991506617889
['Ivan P. V. Carter'],0.0004073319755600815,0.0,0.0,3.815153913635308e-39
['E. Leroy Younker'],0.000814663951120163,0.000814663951120163,0.0,3.471790061408129e-37
['Peter Elias'],0.0020366598778004076,0.017553043165188294,0.0,9.308480205547507e-05
['John B. Thomas',0.004480651731160896,0.002036659877800407,3.73470637738461e-06,9.30909795094616e-20
