author,degree,betweenness,closeness,eigenvector
['L. D. Wilson',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Saul Meyer'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Carl Ellis Howe',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Robert M. Howe'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['A. Charnes',0.0014760147601476014,1.4527704332161434e-06,0.0014760147601476014,2.9515180458259166e-18
'William W. Cooper',0.0004920049200492004,0.0,0.0008856088560885608,1.475759022912958e-18
'Donald Farr'],0.0004920049200492004,0.0,0.0008856088560885608,1.475759022912958e-18
['B. G. Farley',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'W. A. Clark'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Wilson P. Tanner',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Robert Z. Norman'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['William A. Malthaner',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'H. E. Vaughan'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Herman Rubin',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Patrick Suppes'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Benjamin F. Logan',0.0007380073800738007,2.421284055360239e-07,0.0007380073800738007,2.4632970961735815e-23
'George R. Welti',0.0004920049200492004,0.0,0.0005535055350553505,2.1052265147310135e-23
'George C. Sponsler'],0.0004920049200492004,0.0,0.0005535055350553505,2.1052265147310135e-23
['Arnold Weinberger',0.0004920049200492004,4.842568110720478e-07,0.0007687576875768758,2.476614965570411e-18
'J. L. Smith'],0.0002460024600246002,0.0,0.0005125051250512505,7.998092024583701e-19
['Z. Bay',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'N. T. Grisamore'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['V. L. Newhouse',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Noah S. Prywes'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['K. Jaakko',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Jaakko Hintikka'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Peter Elias',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
