abstract,authors,n_citation,references,title,venue,year,id
,['Frederic B. Fitch'],50,[],Modal functions in two-valued logic,Journal of Symbolic Logic,1937,4fca075d-965a-4022-8891-e9d1e326e464
,['W. V. Quine'],18,[],Logic based on inclusion and abstraction,Journal of Symbolic Logic,1937,b6b5baab-032f-4598-aeb2-f2bb7f12b4c7
,['W. V. Quine'],21,['7dc8b493-dd60-4580-bcd2-cea02ca46473'],On the Theory of Types,Journal of Symbolic Logic,1938,f821fbaa-1f89-427f-b5e8-4c904a02e2e7
,['J. Barkley Rosser'],50,[],Definition by Induction in Quine's New Foundations for Mathematical Logic,Journal of Symbolic Logic,1939,c847d855-6db6-4fa6-b4d7-a134909fd705
,['J. Barkley Rosser'],50,[],The Burali-Forti Paradox,Journal of Symbolic Logic,1942,ec66efde-c5cc-43ec-a140-114f6c65ac2a
,['W. V. Quine'],50,[],On Existence Conditions for Elements and Classes,Journal of Symbolic Logic,1942,76ca6fcd-cfa0-412e-ae87-04391b02dbd9
,['J. C. C. McKinsey'],67,[],The decision problem for some classes of sentences without quantifiers,Journal of Symbolic Logic,1943,a51d4933-da3b-4c41-9937-cf0ddde36d00
,['Nelson Goodman'],32,[],On the simplicity of ideas,Journal of Symbolic Logic,1943,7c086e0c-0414-4504-a816-8e9c5c7edd0b
,['Theodore Hailperin'],43,,A Set of Axioms for Logic,Journal of Symbolic Logic,1944,77ede853-69c9-4530-b3f6-88e1a7372296
,['Raphael M. Robinson'],50,,Finite sequences of classes,Journal of Symbolic Logic,1945,8511de4f-eca3-4dbe-91e4-cbd1a3281eef
,['Ruth C. Barcan'],50,,The Deduction Theorem in a Functional Calculus of First Order Based on Strict Implication,Journal of Symbolic Logic,1946,61708407-eb29-4710-9375-aaaadbe53873
,['Rudolf Carnap'],151,,Modalities and Quantification,Journal of Symbolic Logic,1946,b4bece4f-da6f-44b0-9e1e-5a662226edf5
,['Frederic B. Fitch'],27,,An Extension of Basic Logic,Journal of Symbolic Logic,1948,917708e5-6334-4a91-9d07-f107fd3d3d58
